"title";"body";"field_original_field_label";"field_original_field_name";"field_bundle_label";"field_bundle";"field_value_type";"field_categories";"field_repeatable";"field_discrete"
"Study Information » Targets Recruitment of";"Recruitment targets";"Targets Recruitment of";"field_design_target";"Study Information";"study_information";"TEXT";"families|individuals|other";"1";"1"
"Study Information » Target Number of Participants";"Target number of participants";"Target Number of Participants";"field_target_number_participants";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Target Number of Biological Samples";"Target number of biological samples";"Target Number of Biological Samples";"field_target_number_biosamples";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Start year";"Start year";"Start year";"field_status_start";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Specify type of tissues collected";"Type of tissues collected";"Specify type of tissues collected";"field_biosamples_tissues";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » Specify type of target";"Open type of target";"Specify type of target";"field_target_other";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » Specify type of samples collected";"Other type of samples collected";"Specify type of samples collected";"field_biosamples_collected_other";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » Specify type of design";"Open type of design";"Specify type of design";"field_design_other";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » Specify type of access";"Type of access to external researchers or third parties";"Specify type of access";"field_access_other";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » Specify Gender";"Genders of the participants";"Specify Gender";"field_gender";"Study Information";"study_information";"TEXT";"men|women";"0";"1"
"Study Information » Selection Criteria / Charactecteristic of the Population";"Selection criteria / Charactecteristic of the population";"Selection Criteria / Charactecteristic of the Population";"field_selection_criteria";"Study Information";"study_information";"TEXT";"age|country|gender|other";"1";"1"
"Study Information » Proceeding to Genome-Wide Association (GWA) Analysis";"Proceeding to Genome-Wide Association (GWA) analysis";"Proceeding to Genome-Wide Association (GWA) Analysis";"field_gwas_analysis";"Study Information";"study_information";"TEXT";"no|yes_currently|yes_later";"0";"1"
"Study Information » Please specify the approximate number of participants";"Approximate number of participants for GWA";"Please specify the approximate number of participants";"field_gwas_number";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Min age";"Minimum age of participants";"Min age";"field_age_min";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Max age";"Maximum age of participants";"Max age";"field_age_max";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Full Name";"Full name of the study";"Full Name";"field_full_name";"Study Information";"study_information";"TEXT";"";"0";"0"
"Study Information » End year";"End year";"End year";"field_status_end";"Study Information";"study_information";"INTEGER";"";"0";"0"
"Study Information » Country";"Countries where the study is conducted";"Country";"field_study_country";"Study Information";"study_information";"TEXT";"CAN|CRI|DNK|FRA|GBR|USA";"1";"1"
"Study Information » Biological Samples Collected";"Biological samples collected";"Biological Samples Collected";"field_biosamples_collected";"Study Information";"study_information";"TEXT";"blood|others|saliva|tissues|urine";"1";"1"
"Study Information » Baseline Design of the Study";"Baseline design of the study";"Baseline Design of the Study";"field_design";"Study Information";"study_information";"TEXT";"case_control|case_only|clinical_trial|cohort_study|cross_sectional|other|registry";"1";"1"
"Study Information » Access to the following features is provided or foreseen";"Study features for which access to external researchers or third parties is provided or foreseen";"Access to the following features is provided or foreseen";"field_access";"Study Information";"study_information";"TEXT";"biological_samples|data|other";"1";"1"
