"title";"body";"field_original_field_label";"field_original_field_name";"field_bundle_label";"field_bundle";"field_value_type";"field_categories";"field_repeatable"
"Study » Target number of participants";"Target number of participants";"Target number of participants";"field_target_number_participants";"Study";"study";"INTEGER";;"0"
"Study » Target number of biological samples";"Target number of biological samples";"Target number of biological samples";"field_target_number_biosamples";"Study";"study";"INTEGER";;"0"
"Study Information » Targets Recruitment of";"Recruitment targets";"Recruitment targets";"field_design_target";"Study Information";"study_information";"TEXT";"families=Families (including twin studies, sibships and family based birth cohorts)|individuals=Individuals|other=Other";"1"
"Study Information » Target Number of Participants";"Target number of participants";"Target number of participants";"field_target_number_participants";"Study Information";"study_information";"INTEGER";;"0"
"Study Information » Target Number of Biological Samples";"Target number of biological samples";"Target number of biological samples";"field_target_number_biosamples";"Study Information";"study_information";"INTEGER";;"0"
"Study Information » Start year";"Start year";"Start year";"field_status_start";"Study Information";"study_information";"INTEGER";;"0"
"Study Information » Specify type of tissues collected";"Type of tissues collected";"Type of tissues collected";"field_biosamples_tissues";"Study Information";"study_information";"TEXT";;"0"
"Study Information » Specify type of target";"Other type of target";"Other type of target";"field_target_other";"Study Information";"study_information";"TEXT";;"0"
"Study Information » Specify type of samples collected";"Other type of samples collected";"Other type of samples collected";"field_biosamples_collected_other";"Study Information";"study_information";"TEXT";;"0"
"Study Information » Specify type of design";"Other type of design";"Other type of design";"field_design_other";"Study Information";"study_information";"TEXT";;"0"
"Study Information » Specify type of access";"Oher type of access";"Oher type of access";"field_access_other";"Study Information";"study_information";"TEXT";;"0"
"Study Information » Specify Gender";"Gender selection criteria";"Gender selection criteria";"field_gender";"Study Information";"study_information";"TEXT";"men=Men|women=Women";"0"
"Study Information » Selection Criteria / Charactecteristic of the Population";"Selection criteria / Charactecteristic of the population";"Selection criteria / Charactecteristic of the population";"field_selection_criteria";"Study Information";"study_information";"TEXT";"age=Age|country=Country(ies) of residence|gender=Gender|other=Other";"1"
"Study Information » Proceeding to Genome-Wide Association (GWA) Analysis";"Proceeding to genome-wide association (GWA) analysis";"Proceeding to genome-wide association (GWA) analysis";"field_gwas_analysis";"Study Information";"study_information";"TEXT";"no=No|yes_currently=Yes, we already have, or are currently in the process of generating, GWA data|yes_later=Yes, we plan to proceed to GWA analysis later";"0"
"Study Information » Please specify the approximate number of participants";"GWA approximate number of participants";"GWA approximate number of participants";"field_gwas_number";"Study Information";"study_information";"INTEGER";;"0"
"Study Information » Min age";"Minimum age selection criteria";"Minimum age selection criteria";"field_age_min";"Study Information";"study_information";"INTEGER";;"0"
"Study Information » Max age";"Maximum age selection criteria";"Maximum age selection criteria";"field_age_max";"Study Information";"study_information";"INTEGER";;"0"
"Study » Full Name";"Full name of the study";"Full name of the study";"field_full_name";"Study";"study";"TEXT";;"0"
"Study Information » End year";"End year";"End year";"field_status_end";"Study Information";"study_information";"INTEGER";;"0"
