"Medication Intake"
,"Alimentary tract and metabolism"
,"Blood and blood forming organs"
,"Cardiovascular system"
,"Dermatologicals"
,"Genito urinary system and sex hormones"
,"Systemic hormonal preparations, excl. Sex hormones and insulins"
,"Antiinfectives for systemic use"
,"Antineoplastic and immunomodulating agents"
,"Musculo-skeletal system"
,"Nervous system"
,"Antiparasitic products, insecticides and repellents"
,"Respiratory system"
,"Sensory organs"
,"Various"
"Adherence to medication"
